State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Colorado;Masters Degree;None;Full Time;Construction/Field;Private;210000
Texas;Bachelors Degree;None;Full Time;Government/Municipal;Private;85000
Pennsylvania;Bachelors Degree;PE;Full Time;Transportation;Private;92000
Arizona;Bachelors Degree;PE;Full Time;Transportation;Private;165000
Texas;Bachelors Degree;EIT;Full Time;Forensics - civil ;Private;71225
Hawaii;Bachelors Degree;PE;Full Time;Bridges;Private;116600
Colorado;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;100000
North Carolina;Bachelors Degree;PE;Full Time;Water Resources;Private;100000
Maryland;Masters Degree;PE;Full Time;Construction/Field;Private;126000
Virginia;Bachelors Degree;EIT;Full Time;Construction/Field;Private;72000
Massachusetts;Bachelors Degree;PE;Full Time;Bridges;Private;94370
Indiana;Bachelors Degree;PE;Full Time;Water Resources;Private;75200
Maryland;Bachelors Degree;None;Full Time;Water/wastewater;Private;75000
New York;Bachelors Degree;EIT;Full Time;Land Development;Private;57500
California;Masters Degree;PE;Full Time;Structural;Private;97200
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;95000
South Carolina;Masters Degree;PE;Full Time;Land Development;Private;125000
Texas;Bachelors Degree;EIT;Full Time;Water Resources;Private;76500
California;Bachelors Degree;None;Full Time;telecom;Private;86660
Virginia;Bachelors Degree;PE;Full Time;Structural;Public;105000
Illinois;Bachelors Degree;PE;Full Time;Transportation;Private;75000
Illinois;Bachelors Degree;PE;Full Time;Transportation;Private;143520
Wisconsin;Bachelors Degree;PE;Full Time;Structural;Private;85000
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;100000
Maine;Bachelors Degree;EIT;Full Time;Construction/Field;Private;67500
New York;Bachelors Degree;EIT;Full Time;Water Resources;Private;74214
Texas;Bachelors Degree;PE;Full Time;Environmental;Public;100000
Indiana;Bachelors Degree;None;Full Time;Construction/Field;Public;98000
Nevada;Bachelors Degree;EIT;Full Time;Land Development;Private;77000
California;Bachelors Degree;PE;Full Time;Transportation;Public;109000
Oregon;Masters Degree;PE;Full Time;Water Resources;Private;91520
Oregon;Bachelors Degree;EIT;Full Time;Geotechnical;Private;85000
Illinois;Bachelors Degree;PE;Full Time;Structural;Private;97000
California;Bachelors Degree;PE;Full Time;Water Resources;Public;112000
Pennsylvania;Bachelors Degree;EIT;Full Time;Land Development;Private;83000
New Jersey;Bachelors Degree;PE;Full Time;Construction/Field;Private;124000
Virginia;Bachelors Degree;PE;Full Time;Transportation;Public;111000
California;Masters Degree;PE;Full Time;Water Resources;Private;108000
Oklahoma;Bachelors Degree;PE;Full Time;Transportation;Private;94000
Pennsylvania;Bachelors Degree;EIT;Full Time;Bridges;Public;71000
Illinois;Bachelors Degree;EIT;Full Time;Structural;Private;81700
Missouri;Bachelors Degree;PE;Full Time;Transportation;Public;87000
California;Bachelors Degree;PE;Full Time;Government/Municipal;Public;150000
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;83000
Florida;Bachelors Degree;EIT;Full Time;Structural;Private;79000
Pennsylvania;Bachelors Degree;EIT;Full Time;Water Resources;Private;75000
Texas;Masters Degree;EIT;Full Time;Structural;Private;70720
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;100000
Maryland;Masters Degree;PE;Full Time;Transportation;Public;118000
